cal_year,engine_cc,vehicle_value,age,ncd_level,gross_amount
2020,623,17892,55,1,9354.559822
2020,623,17892,55,1,1941.300343
2018,600,12309,24,2,23925.99222
2020,1136,28327,71,2,10880.65099
2017,600,10164,41,2,6985.337065
2021,4371,90000,55,2,16453.70412
2021,727,21167,56,5,14599.6042
2018,600,11057,22,1,6596.142071
2020,600,11057,24,1,2872.777356
2022,600,11057,26,1,7782.381771
2022,600,11057,26,1,2015.273748
2023,600,9467,49,3,3895.528468
2021,600,16631,45,5,2446.286887
2021,600,13099,39,2,6951.014584
2020,600,14559,78,3,2187.575306
2021,658,17443,73,2,4650.625169
2022,658,17443,74,0,20975.51721
2021,600,9516,63,4,26574.60558
2021,600,9516,63,4,3311.263638
2022,600,15302,31,2,11903.55182
2022,600,15302,31,2,2973.744099
2023,600,15302,32,0,4805.101629
2024,600,15302,33,0,2959.217731
2018,600,13977,44,1,5020.330918
2024,600,11364,26,2,3715.124206
2023,600,15469,52,4,3981.101207
2023,600,15469,52,4,33549.7404
2023,600,15469,52,4,8905.798758
2022,600,10530,27,2,2440.605024
2024,600,7371,35,1,3828.577049
2018,790,15025,20,2,4015.971874
2019,600,13920,38,2,11475.3199
2019,1769,45989,39,1,190.833343
2017,818,25961,43,0,3424.027743
2023,1299,37602,64,3,5828.583435
2017,600,14125,23,0,24456.89466
2018,600,14125,24,0,14535.93808
2023,600,16362,64,1,9638.403769
2023,1458,37126,59,3,12954.48314
2018,600,13888,24,1,4843.828687
2018,600,13888,24,1,9978.053631
2018,600,13888,24,1,39895.8615
2024,600,13888,30,5,8126.64373
2023,600,16009,57,0,11924.40374
2017,1025,30606,22,1,9001.769938
2017,1025,30606,22,1,4849.311572
2017,1025,30606,22,1,1919.14147
2019,1025,30606,24,1,27067.12455
2019,1025,30606,24,1,13131.18555
2019,1025,30606,24,1,33724.76427
2018,600,16458,34,2,6095.178121
2019,651,9994,33,0,14986.70044
2020,651,9994,34,0,4527.982447
2019,600,15005,23,2,4479.181444
2019,600,15005,23,2,5235.601073
2020,600,15005,24,0,25545.50464
2019,956,27501,46,2,467.7525104
2019,600,7136,51,1,9984.814319
2021,600,15792,48,2,6557.127697
2022,979,20905,54,0,12700.4563
2016,600,12226,23,0,7319.997075
2016,600,12226,23,0,9468.525535
2018,600,12226,25,1,15987.56459
2017,600,12081,31,1,2989.379616
2019,600,12081,33,1,3568.695617
2017,1057,26352,37,1,3644.582352
2017,1057,26352,37,1,3282.903264
2020,1057,26352,40,2,8595.865218
2021,1057,26352,41,0,7212.587948
2024,1256,26922,83,5,8489.805192
2017,1707,42267,38,2,4965.64277
2018,600,11911,29,1,4921.060055
2023,600,11911,34,4,26625.96917
2024,600,15705,41,5,5363.560661
2024,2005,49868,51,5,8946.117126
2023,3784,87125,62,3,15522.3129
2024,3784,87125,63,1,20865.51268
2022,600,10428,42,2,4857.476855
2023,600,10428,43,0,11670.32029
2022,600,13217,36,2,17839.77998
2022,600,13217,36,2,3090.523979
2016,1278,36015,31,0,7842.822466
2016,1278,36015,31,0,16799.1602
2017,1278,36015,32,0,8647.592031
2017,1278,36015,32,0,47982.79214
2023,2472,60602,47,3,28972.1855
2021,600,11829,24,4,21893.23533
2023,916,21752,39,2,24288.68196
2023,916,21752,39,2,17465.71212
2023,600,7694,50,5,17352.02455
2023,600,7694,50,5,37519.69949
2019,967,23582,26,2,7622.019113
2020,967,23582,27,0,1688.186585
2023,600,16031,54,5,5869.165793
2016,1360,44617,19,1,19584.70807
2020,1360,44617,23,3,60785.4445
2021,1817,45247,33,0,12641.35572
2023,600,7843,47,2,465.2688582
2021,600,15341,46,4,12523.9396
2019,600,10679,53,2,5793.524781
2022,600,10679,56,2,3974.895887
2022,600,21771,41,4,3344.781718
2022,600,9714,51,3,14868.6069
2022,862,15411,38,3,16183.93994
2024,862,15411,40,2,4080.292417
2018,2950,65439,48,2,15232.64724
2021,2950,65439,51,2,7878.419863
2021,965,17721,35,5,6891.299713
2021,600,7415,41,5,4797.394321
2024,1805,44784,36,5,8880.159107
2023,600,10513,26,0,10429.19517
2019,1695,37976,35,3,7068.283542
2020,1695,37976,36,1,18014.46805
2022,1695,37976,38,1,20258.93258
2023,713,14844,58,3,10937.88031
2023,713,14844,58,3,10172.85831
2022,698,14798,35,1,6183.159176
2024,600,15547,52,4,25853.15885
2017,600,18538,68,2,5848.580906
2018,600,18538,69,0,18277.25592
2021,600,14349,47,0,6177.580567
2023,815,22918,49,0,11736.09201
2023,600,10992,37,1,13520.16811
2023,600,10992,37,1,5616.618265
2021,1339,31319,32,1,18690.63695
2022,1339,31319,33,0,11436.7133
2024,600,7641,52,5,3003.862261
2024,600,7641,52,5,8683.654321
2020,600,18200,49,1,8690.486633
2023,673,20095,57,3,12423.34105
2024,600,8191,58,5,12339.67468
2020,600,16729,46,4,5779.634499
2022,600,16729,48,3,7122.376
2024,600,15032,47,0,4899.947441
2024,600,10835,52,5,2550.953834
2020,644,14853,37,1,5444.740322
2021,638,16699,58,1,10053.5677
2021,638,16699,58,1,7572.522294
